i,Action,Industry,Country,ИНН
Signet Jewelers,suspend business interaction with Russian-owned entities; no information about other Russian customers,Consumer Discretionary,United States,
Sika,significantly scale back business in Russia; stop production; stop investments,Industrials,Switzerland,277013017
Sinopec,suspend $500MM new investment and significant operations and partnerships,Energy,China,7715680371
Skadden,suspend certain operations in Russia but not all,Industrials,United States,
Skandinaviska Enskilda Banken,scaling down operations in Russia,Financials,Sweden,4706006731
Sketchers,suspended shipments to Russia but online sales continue,Consumer Discretionary,United States,5902044816
Spotify,"closed office and suspend service but still allow Kremlin-associated artists (e.g. Gazmanov, Gagarina)",Communication Services,Sweden,7710955287
Systemair,Temporarily discontinuing all deliveries,,Sweden,9725042163
Tennant,substantially suspending sales to Russia,Industrials,United States,7728121860
Terex Corporation,stop accepting new orders from continuing dealer network in Russia,Industrials,United States,7710687895
Tetra Pak,stopped new investments and scaled down activities,Industrials,Sweden,2353013720
ThyssenKrupp,Stopped new business and investments. Closed plant,Materials,Germany,4028044157
Tikkurila,reduce Russian operations; stop sales to aerospace; consider exiting Russia,Materials,Finland,7816424590
Tokio Marine,suspend new contracts and repatriate employees,Financials,Japan,9705054989
TomTom,"turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review",Information Technology,Netherlands,7725343368
Total Energies,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Acrtic LNG 2 project,Energy,France,
Toyota,stop production at its St. Petersburg plant and stop imports of vehicles; no statement about retail operations and services inside Russia,Consumer Discretionary,Japan,7814150030
Trafigura,freeze investments and stop purchasing crude oil from Rosneft; maintain shareholding in Russia,Energy,Singapore,7704839652
Triglav Group,not renewing or entering into new business,Financials,Slovenia,9731074685
Tungsram,stopped producing products and projects,Utilities,Hungary,7703457717
U.S. Polo Assn.,stopped all shipments of goods into Russia and shut down all branded digital operations but phased approach to closing physical stores,Consumer Discretionary,United States,
UBS,suspend new business in Russia and reduce current exposure by helping clients unwind Russia securities; reducing Russian client services,Financials,Switzerland,7716609999
Uniper SE,suspend new Russian gas purchases/divest Unipro,Utilities,Germany,8602067092
Valentino,suspend online sales; no information about on-site sales,Consumer Discretionary,Italy,7719148827
Vattenfall,shifting energy purchases away from Russia,Utilities,Sweden,
Wartsila,suspend all deliveries and new sales to Russia; continue ongoing projects,Industrials,Finland,5190129552
Westinghouse Air Brake Technologies Corp,stopped sales to Russia,Industrials,United States,
Whirlpool,limiting production in Russia,Consumer Discretionary,United States,4823005682
Wilo,stop shipments to and from Russia; no comment about production in Russia,Industrials,Germany,7702176142
Wolters Kluwer,scale back to just health products in Russia,Financials,Netherlands,7713795440
Yum Brands,suspend operations of company-owned restaurants and new investments in Russia,Consumer Discretionary,United States,
ZF Friedrichshafen,stop all deliveries to Russia; maintain JVs,Consumer Discretionary,Germany,1650126122
Zoetis,suspend investments & focus on supply of medicines and vaccines,Health Care,United States,7709657102
3M,suspend operations in Russia,Industrials,United States,1646033450
AAK,halted delivery and sales,Consumer Staples,Sweden,7703100001
Abrdn,suspend investments in Russia and reduce exposure,Financials,United Kingdom,
ACCA,suspend operations in Russia and Belarus,Industrials,United Kingdom,6449103789
Acer,suspend its business in Russia,Information Technology,Taiwan,7713688135
Acne Studios,put all Russian activities on hold,Consumer Discretionary,Sweden,
Adamed,halt sales and production in Russia,Health Care,Poland,7710951638
Adidas,suspend operations in Russia,Consumer Discretionary,Germany,7714037390
ADP,suspend sales/services to Russia,Information Technology,United States,5001034530
AICPA,suspend sale and delivery of services indefinitely,Industrials,United States,
Air Astana,suspend flights to Russia,Industrials,Kazakhstan,
Air France,halt flight to and from Russia,Industrials,France,7724069257
Air Malta,suspend all flights to and from Russia,Industrials,Malta,7722165928
Airbnb,block bookings and block accepting guests in Russia,Consumer Discretionary,United States,7705977091
Akamai,suspend sales in Russia,Information Technology,United States,7705325709
Akin Gump,suspend operations in Russia,Industrials,United States,
AL-KO Vehicle Technology,suspend deliveries to Russia and Belarus,Consumer Discretionary,Germany,
Alaska Airlines,temporarily suspend partnership with Russian airline,Industrials,United States,
Alimentation Couche-Tard,suspend operations,Consumer Staples,Canada,
Alstom,suspend shipments to Russia,Industrials,France,7722801637
AM Best,suspend all commercial activities to Russian clients,Information Technology,United States,6685194891
Amazon,suspend operations in Russia,Consumer Discretionary,United States,814110429
Ambarella,suspend shipments into Russia,Information Technology,United States,7727403911
AMD,suspend all sales to Russia,Information Technology,United States,
Amdocs,stop all new sales of product and services in Russia,Information Technology,United States,7710393180
Amer Sports,suspend all commercial activities in Russia,Consumer Discretionary,Finland,5003052687
American Airlines,pause agreements with Russian airlines,Industrials,United States,
American Express,suspend operations in Russia,Financials,United States,7750003950
Amica,suspended Russian exports,Consumer Discretionary,Poland,6362011766
Amway,suspend operations in Russia,Consumer Staples,United States,7704511011
Analog Devices,suspend sales to Russia according to sanctions,Information Technology,United States,3328445285
Ansys,suspend all sales and business activity,Information Technology,United States,7726683960
Aon PLC,suspend operations in Russia,Financials,United Kingdom,
Apple,suspend all official site sales; turn off select apps and services,Information Technology,United States,7707767220
Arla,suspends all operations,Consumer Staples,Denmark,7729493082
